,text,sentiment,labels,ca_related
39,"@CBCAlerts @CBCNews Never seen a vaccine so effective that case counts are as high as a year ago with no vaccine and it requires multiple boosters and everyone to vaccinated for it to maybe work. 

When are people gonna realize it's failed?

Breakthrough cases = Vaccine failed.",neg,vax-efficiency,ca
40,@Iwearcoolshoes @Onebadmum2 @aaflightinjury @CBCNews 1/2 Yes I did read the article. A key point in the article is the 16 week grace period for those who received the placebo during the vaccine trial...it doesn't give the start or end date. During 16 week grace period they are using a fraudulent document,neg,covid-controversy,ca
41,@CBCNews Yet some people still think a vaccine is the only way out of this,neg,covid-controversy,ca
42,"@Norbsters @CBCNews I am not anti vaccine lol.
I am anti experimental vaccine. 

Current death toll proves my point. 

Funny how the vaxx-nazi is pro choice.",neg,covid-controversy,ca
43,@CBCNews There was never immunity from vaccine.  Please.  Break through cases daily started since two months after the first jab.,neg,vax-efficiency,ca
44,@Iwearcoolshoes @Onebadmum2 @aaflightinjury @CBCNews 2/2 stating they are vaccinated and they are not. They are free to travel and receive services as if they are vaccinated. You could be on a flight where everyone has a vaccine passport but not everyone is vaccinated. The devil is in the details.,neg,pandemic-legal,ca
45,@ciderismydrink @FreedomGermain @CBCNews 🤣 those are the reported vaccine side effects,neg,vax-efficiency,ca
46,"@CBCNews well i wouldn't even give the animals the vaccine,, You might kill them all! But just in case you guys try i better buy some phizer stock",neg,covid-controversy,ca
47,@globeandmail The most dangerous variants are the ones caused by a vaccine that is ineffective with stopping a host from being contagious,neg,vax-efficiency,ca
48,@CBCAlerts The irony of this #coercive #covidvaccine stupidity is that you need to show this vaccine 'health' pass to get into a junk food restaurants!🤔🤨🙄,neg,pandemic-logistics,ca
49,@CBCAlerts Where are you @cancivlib This is a travesty and letting it happen on your watch is unforgivable. A test is proven to be better than a vaccine for keeping those around you safe. This is punitive.,neg,covid-controversy,ca
